"Date","Price","Open","High","Low","Vol.","Change %"
"02/24/2023","200.34","201.31","202.72","199.03","","-0.35%"
"02/23/2023","201.05","203.50","203.50","199.34","","-1.42%"
"02/22/2023","203.94","204.33","205.25","200.92","","0.00%"
"02/21/2023","203.93","202.32","204.03","201.71","","1.35%"
"02/20/2023","201.21","206.34","206.34","200.58","","-2.93%"
"02/17/2023","207.28","205.27","207.65","204.61","","0.80%"
"02/16/2023","205.63","210.43","211.44","205.10","","-2.05%"
"02/15/2023","209.94","206.12","210.82","203.48","","1.60%"
"02/14/2023","206.64","214.75","214.75","205.50","","-3.15%"
"02/13/2023","213.37","214.36","215.70","211.18","","-1.03%"
"02/10/2023","215.60","220.47","228.53","214.22","","-4.21%"
"02/09/2023","225.07","218.28","226.91","217.72","","4.35%"
"02/08/2023","215.69","213.31","216.78","209.90","","0.40%"
"02/07/2023","214.83","215.71","217.72","213.93","","3.46%"
"02/06/2023","207.64","205.33","208.47","204.06","","4.96%"
"02/03/2023","197.82","198.68","200.23","197.01","","-1.01%"
"02/02/2023","199.83","196.73","200.33","194.35","","1.23%"
"02/01/2023","197.40","200.06","201.25","196.91","","-0.73%"
"01/31/2023","198.85","194.01","199.14","194.01","","2.57%"
"01/30/2023","193.86","195.71","198.56","193.60","","-0.55%"
"01/27/2023","194.94","196.21","196.80","192.81","","-0.63%"
"01/26/2023","196.17","194.41","198.39","192.05","","1.17%"
"01/25/2023","193.90","193.62","195.83","192.45","","1.26%"
"01/24/2023","191.48","187.76","192.92","184.25","","2.32%"
"01/23/2023","187.13","183.89","188.19","181.85","","2.24%"
"01/20/2023","183.03","185.44","187.09","181.29","","-1.14%"
"01/19/2023","185.14","183.64","187.87","183.60","","1.14%"
"01/18/2023","183.06","179.32","183.73","178.22","","2.31%"
"01/17/2023","178.92","192.03","193.49","177.48","","-6.48%"
"01/16/2023","191.32","196.36","196.36","190.68","","-2.75%"
"01/13/2023","196.72","202.97","202.97","196.16","","-3.56%"
"01/12/2023","203.99","204.99","207.64","203.23","","-0.25%"
"01/11/2023","204.50","202.78","205.12","201.31","","1.48%"
"01/10/2023","201.52","203.36","203.40","198.63","","1.32%"
"01/09/2023","198.89","198.17","201.89","197.63","","0.35%"
"01/06/2023","198.20","194.94","199.67","194.08","","1.81%"
"01/05/2023","194.68","193.96","196.30","193.72","","0.51%"
"01/04/2023","193.69","195.19","196.75","193.38","","-0.69%"
"01/03/2023","195.03","197.53","197.94","194.54","","-1.11%"
"01/02/2023","197.21","197.63","201.22","195.39","","-0.54%"
"12/30/2022","198.29","196.31","201.24","193.48","","1.88%"
"12/29/2022","194.64","191.09","195.29","189.99","","2.66%"
"12/28/2022","189.60","189.01","190.67","187.25","","-0.29%"
"12/27/2022","190.15","192.38","193.15","189.77","","-1.15%"
"12/26/2022","192.36","187.41","195.53","185.79","","3.10%"
"12/23/2022","186.57","187.55","189.02","185.62","","-0.68%"
"12/22/2022","187.84","183.92","189.74","183.92","","2.61%"
"12/21/2022","183.07","180.79","184.48","179.00","","0.91%"
"12/20/2022","181.42","188.19","189.41","177.62","","-3.44%"
"12/19/2022","187.89","190.73","191.45","187.74","","-1.57%"
"12/16/2022","190.89","191.49","191.56","189.34","","0.19%"
"12/15/2022","190.52","192.22","192.50","188.58","","-0.92%"
"12/14/2022","192.29","190.86","192.85","189.48","","0.96%"
"12/13/2022","190.46","190.52","192.11","190.21","","-0.32%"
"12/12/2022","191.07","191.08","191.57","190.48","","0.14%"
"12/09/2022","190.80","189.86","192.21","188.39","","0.57%"
"12/08/2022","189.71","188.20","190.62","188.20","","-0.15%"
"12/07/2022","189.99","188.60","190.62","187.63","","1.08%"
"12/06/2022","187.96","188.33","188.90","185.78","","0.05%"
"12/05/2022","187.87","192.02","192.99","186.99","","-2.41%"
"12/02/2022","192.51","195.03","196.23","191.64","","-1.35%"
"12/01/2022","195.15","196.69","197.82","194.88","","-0.53%"
"11/30/2022","196.19","195.58","196.93","194.56","","0.39%"
"11/29/2022","195.42","193.95","195.65","193.25","","1.03%"
"11/28/2022","193.43","197.12","197.12","193.04","","-2.88%"
"11/25/2022","199.17","201.02","201.21","198.85","","-0.27%"
"11/24/2022","199.71","199.27","200.49","199.01","","0.19%"
"11/23/2022","199.34","199.58","200.50","199.01","","-0.02%"
"11/22/2022","199.38","199.56","201.28","199.05","","-0.15%"
"11/21/2022","199.67","200.12","200.51","199.20","","-0.17%"
"11/18/2022","200.01","200.52","200.52","199.19","","-0.37%"
"11/17/2022","200.76","201.77","202.03","200.15","","-0.34%"
"11/16/2022","201.44","201.89","203.26","200.94","","-0.15%"
"11/15/2022","201.75","201.47","204.34","201.18","","0.08%"
"11/14/2022","201.59","202.73","202.87","201.03","","-0.92%"
"11/11/2022","203.47","200.59","203.72","199.76","","1.66%"
"11/10/2022","200.15","197.02","201.77","197.02","","1.62%"
"11/08/2022","196.96","195.58","197.50","195.58","","0.86%"
"11/07/2022","195.29","195.39","196.69","195.14","","0.16%"
"11/04/2022","194.98","195.95","196.33","194.78","","-1.55%"
"11/03/2022","198.04","197.50","198.64","196.52","","-0.53%"
"11/02/2022","199.10","198.82","199.89","198.45","","0.08%"
"11/01/2022","198.95","198.86","199.39","197.74","","0.71%"
"10/31/2022","197.55","197.61","198.56","195.73","","0.55%"
"10/28/2022","196.47","199.34","199.64","195.90","","-1.30%"
"10/27/2022","199.06","199.28","200.12","198.36","","-0.36%"
"10/26/2022","199.78","201.62","201.84","198.43","","-1.08%"
"10/25/2022","201.97","201.96","203.62","201.76","","-0.23%"
"10/24/2022","202.43","204.30","204.67","202.22","","0.06%"
"10/21/2022","202.31","200.79","202.82","199.34","","0.87%"
"10/20/2022","200.56","202.03","202.29","200.43","","-0.55%"
"10/19/2022","201.67","200.26","202.08","199.73","","0.96%"
"10/18/2022","199.75","200.46","201.75","199.12","","-0.27%"
"10/17/2022","200.29","202.04","202.43","200.21","","-0.87%"
"10/14/2022","202.05","204.35","204.35","201.48","","-0.80%"
"10/13/2022","203.67","204.07","205.04","203.40","","-0.07%"
"10/12/2022","203.82","204.62","205.22","203.68","","-0.20%"
"10/11/2022","204.23","204.47","205.60","203.71","","-0.01%"
"10/10/2022","204.25","203.20","205.47","203.20","","0.53%"
"10/07/2022","203.17","203.62","205.50","202.80","","-0.38%"
"10/06/2022","203.95","203.51","204.83","202.75","","0.46%"
"10/05/2022","203.01","202.25","203.55","201.94","","0.69%"
"10/04/2022","201.62","202.16","203.65","201.18","","0.15%"
"10/03/2022","201.31","202.74","203.16","200.72","","-0.54%"
"09/30/2022","202.40","202.04","203.39","201.11","","-0.14%"
"09/29/2022","202.69","202.97","203.58","200.70","","-0.14%"
"09/28/2022","202.97","203.37","205.77","202.43","","0.11%"
"09/27/2022","202.74","199.35","204.14","198.69","","2.31%"
"09/26/2022","198.17","196.59","199.88","196.02","","0.82%"
"09/23/2022","196.55","200.01","200.03","196.05","","-0.78%"
"09/22/2022","198.09","195.43","198.56","194.00","","0.67%"
"09/21/2022","196.77","200.57","201.73","195.64","","-1.93%"
"09/20/2022","200.64","204.44","204.97","200.09","","-1.72%"
"09/19/2022","204.15","205.91","206.37","203.90","","-0.59%"
"09/16/2022","205.37","206.87","207.78","204.77","","-0.50%"
"09/15/2022","206.41","208.11","209.84","205.79","","-0.73%"
"09/14/2022","207.93","207.52","208.69","206.78","","0.13%"
"09/13/2022","207.65","207.86","208.90","206.99","","0.07%"
"09/12/2022","207.51","208.76","209.81","207.13","","-0.49%"
"09/09/2022","208.53","208.76","210.13","208.27","","0.00%"
"09/08/2022","208.54","208.04","209.31","207.53","","0.45%"
"09/07/2022","207.61","210.08","210.67","207.19","","-0.62%"
"09/06/2022","208.90","209.19","209.30","207.40","","0.09%"
"09/05/2022","208.72","210.26","211.48","208.19","","-0.79%"
"09/02/2022","210.38","212.44","212.98","210.05","","-0.63%"
"09/01/2022","211.71","211.94","213.82","211.02","","0.35%"
"08/31/2022","210.98","208.83","211.79","208.18","","0.91%"
"08/30/2022","209.07","215.98","215.98","208.35","","-2.00%"
"08/29/2022","213.34","215.16","216.36","210.67","","-0.94%"
"08/26/2022","215.37","220.58","220.58","215.07","","-0.81%"
"08/25/2022","217.12","215.62","218.17","214.31","","0.38%"
"08/24/2022","216.30","218.73","219.68","215.87","","-0.84%"
"08/23/2022","218.13","213.71","218.58","213.63","","2.86%"
"08/22/2022","212.06","215.19","215.67","211.77","","-1.09%"
"08/19/2022","214.40","215.52","216.63","214.00","","-0.99%"
"08/18/2022","216.54","217.58","218.79","215.62","","0.06%"
"08/17/2022","216.42","214.80","217.36","214.01","","0.82%"
"08/16/2022","214.66","214.95","217.81","214.20","","0.04%"
"08/15/2022","214.58","212.40","215.55","212.40","","1.15%"
"08/12/2022","212.14","212.00","212.84","210.58","","0.65%"
"08/11/2022","210.78","211.38","212.23","210.24","","-0.15%"
"08/10/2022","211.10","209.71","215.37","209.71","","1.02%"
"08/05/2022","208.96","206.23","211.07","205.78","","1.54%"
"08/04/2022","205.80","202.86","206.34","202.57","","2.17%"
"08/03/2022","201.42","196.41","203.20","194.93","","3.16%"
"08/02/2022","195.25","194.67","196.77","193.35","","0.16%"
"08/01/2022","194.94","194.16","195.80","193.50","","0.43%"
"07/29/2022","194.10","195.33","196.65","193.53","","-1.07%"
"07/28/2022","196.20","194.01","199.25","192.53","","1.50%"
"07/27/2022","193.31","192.98","194.28","191.49","","0.32%"
"07/26/2022","192.69","191.29","194.25","190.37","","0.42%"
"07/25/2022","191.88","193.26","193.88","191.37","","-0.94%"
"07/22/2022","193.71","195.61","195.61","189.70","","0.25%"
"07/21/2022","193.22","196.32","196.60","192.87","","-1.44%"
"07/20/2022","196.05","194.63","196.41","193.01","","0.78%"
"07/19/2022","194.54","199.40","200.79","193.19","","-2.42%"
"07/18/2022","199.37","202.96","202.96","198.23","","-2.36%"
"07/15/2022","204.19","207.58","208.15","204.07","","-1.62%"
"07/14/2022","207.55","206.47","207.87","204.27","","1.51%"
"07/13/2022","204.46","199.52","205.89","198.20","","2.26%"
"07/07/2022","199.94","198.50","200.95","196.97","","1.20%"
"07/06/2022","197.56","197.79","198.77","197.01","","0.35%"
"07/05/2022","196.88","198.56","199.34","195.99","","-0.80%"
"07/04/2022","198.46","200.61","201.89","197.89","","-1.05%"
"07/01/2022","200.57","200.81","201.34","199.43","","-0.12%"
"06/30/2022","200.82","199.32","201.02","197.18","","0.72%"
"06/29/2022","199.38","203.51","204.64","196.82","","-2.39%"
"06/28/2022","204.26","203.98","207.05","201.56","","0.48%"
"06/27/2022","203.29","201.97","204.20","199.87","","1.94%"
"06/24/2022","199.42","210.49","211.22","195.77","","-5.21%"
"06/23/2022","210.39","208.73","211.81","208.68","","0.87%"
"06/22/2022","208.57","209.53","209.92","207.01","","0.30%"
"06/21/2022","207.95","204.94","208.80","203.81","","1.78%"
"06/20/2022","204.31","207.40","208.57","203.50","","-1.15%"
"06/17/2022","206.69","204.77","208.93","204.77","","1.14%"
"06/16/2022","204.37","202.39","204.61","200.98","","1.05%"
"06/15/2022","202.24","200.23","203.16","199.76","","1.30%"
"06/14/2022","199.64","198.95","200.27","197.48","","0.07%"
"06/13/2022","199.50","208.25","208.25","198.55","","-4.15%"
"06/10/2022","208.14","206.36","209.00","205.48","","0.93%"
"06/09/2022","206.23","206.29","208.83","205.78","","0.03%"
"06/08/2022","206.17","202.97","207.91","201.30","","1.33%"
"06/07/2022","203.47","203.44","205.17","202.58","","0.14%"
"06/06/2022","203.19","201.14","204.46","199.59","","1.16%"
"06/03/2022","200.86","201.90","201.90","200.42","","-1.76%"
"06/02/2022","204.45","208.76","208.80","203.79","","-1.73%"
"06/01/2022","208.04","210.86","211.11","207.72","","-1.33%"
"05/31/2022","210.84","215.59","216.59","209.74","","-1.61%"
"05/30/2022","214.29","214.42","217.02","213.09","","0.19%"
"05/27/2022","213.89","214.61","218.70","213.36","","0.48%"
"05/26/2022","212.86","209.42","213.74","209.29","","1.47%"
"05/25/2022","209.77","209.12","211.33","206.57","","-0.06%"
"05/24/2022","209.90","211.78","213.57","209.55","","-0.89%"
"05/23/2022","211.78","215.79","215.79","211.30","","-2.05%"
"05/20/2022","216.22","215.71","217.29","214.99","","0.25%"
"05/19/2022","215.68","215.87","218.39","215.32","","-0.49%"
"05/18/2022","216.74","215.54","217.67","213.80","","0.59%"
"05/17/2022","215.46","216.31","216.81","214.52","","-0.12%"
"05/16/2022","215.71","221.07","221.07","214.31","","-2.51%"
"05/13/2022","221.26","219.33","221.74","217.97","","0.88%"
"05/12/2022","219.33","218.03","221.01","216.00","","0.19%"
"05/11/2022","218.91","220.94","222.80","214.29","","-0.77%"
"05/10/2022","220.60","222.34","223.65","220.09","","-0.70%"
"05/09/2022","222.16","233.41","233.41","221.84","","-5.57%"
"05/06/2022","235.27","237.61","238.35","234.32","","-0.98%"
"04/28/2022","237.61","238.90","240.13","236.25","","-0.54%"
"04/27/2022","238.90","240.74","241.13","238.39","","-0.86%"
"04/26/2022","240.97","244.07","244.07","240.70","","-0.81%"
"04/25/2022","242.94","242.11","244.21","241.53","","0.96%"
"04/22/2022","240.64","240.77","241.84","239.88","","-0.14%"
"04/21/2022","240.98","241.39","242.69","239.61","","-0.25%"
"04/20/2022","241.59","247.62","248.18","241.09","","-1.81%"
"04/19/2022","246.04","248.19","248.62","245.36","","-0.63%"
"04/18/2022","247.59","249.14","249.50","247.29","","-0.96%"
"04/15/2022","249.98","250.56","252.06","249.57","","-0.16%"
"04/14/2022","250.39","251.01","251.16","249.13","","-0.06%"
"04/13/2022","250.53","252.22","252.92","249.72","","-0.82%"
"04/12/2022","252.59","252.69","254.02","251.38","","-0.11%"
"04/11/2022","252.88","246.89","253.49","246.89","","4.25%"
"04/08/2022","242.56","237.63","243.54","237.63","","2.62%"
"04/07/2022","236.37","238.26","239.63","234.99","","-0.78%"
"04/06/2022","238.24","238.78","240.53","237.96","","0.03%"
"04/05/2022","238.17","238.90","241.97","237.03","","-0.42%"
"04/04/2022","239.17","248.39","248.39","238.93","","-4.81%"
"04/01/2022","251.25","248.93","253.17","246.97","","1.08%"
"03/31/2022","248.57","246.59","249.53","246.59","","0.51%"
"03/30/2022","247.32","247.21","247.90","244.31","","-0.07%"
"03/29/2022","247.50","246.54","248.11","245.57","","0.78%"
"03/28/2022","245.59","242.27","246.50","239.29","","1.38%"
"03/25/2022","242.24","238.86","242.77","237.16","","1.41%"
"03/24/2022","238.87","235.70","239.71","233.88","","1.53%"
"03/22/2022","235.26","237.59","238.30","234.48","","-0.77%"
"03/21/2022","237.08","235.16","238.27","234.73","","0.90%"
"03/18/2022","234.97","240.86","241.78","234.12","","-3.03%"
"03/17/2022","242.32","244.12","244.68","242.18","","-0.28%"
"03/16/2022","242.99","243.60","247.51","242.52","","-0.22%"
"03/15/2022","243.53","240.42","243.87","240.24","","0.50%"
"03/14/2022","242.31","243.07","243.46","241.44","","-0.32%"
"03/11/2022","243.08","245.28","246.19","242.41","","-0.77%"
"03/10/2022","244.96","238.20","245.49","238.20","","3.40%"
"03/09/2022","236.91","237.97","241.28","235.65","","-0.56%"
"03/08/2022","238.25","242.77","242.78","237.72","","-1.28%"
"03/07/2022","241.33","251.91","251.91","240.90","","-4.39%"
"03/04/2022","252.41","251.81","254.00","251.43","","0.19%"
"03/03/2022","251.92","253.36","254.22","251.32","","-0.68%"
"03/02/2022","253.65","256.92","256.92","252.17","","-1.49%"
"03/01/2022","257.48","262.60","262.60","257.25","","-0.54%"
"02/28/2022","258.88","256.35","260.90","254.14","","1.01%"
"02/25/2022","256.30","258.57","259.94","255.83","","-0.41%"
"02/24/2022","257.36","263.59","264.61","256.30","","-3.59%"
"02/23/2022","266.94","266.35","267.55","263.16","","0.50%"
"02/22/2022","265.62","268.80","268.87","262.26","","-0.92%"
"02/21/2022","268.09","270.60","271.32","267.75","","-0.70%"
"02/18/2022","269.98","268.67","270.43","267.38","","0.69%"
"02/17/2022","268.13","267.56","270.00","267.50","","0.03%"
"02/16/2022","268.06","269.93","271.41","267.91","","-0.36%"
"02/15/2022","269.02","268.15","271.00","268.10","","-0.16%"
"02/14/2022","269.44","271.40","272.85","268.65","","-1.04%"
"02/11/2022","272.26","270.00","272.51","269.49","","0.87%"
"02/10/2022","269.92","273.48","275.26","269.75","","-1.30%"
"02/09/2022","273.48","272.71","274.19","271.70","","0.55%"
"02/08/2022","271.98","273.51","273.52","271.68","","-0.17%"
"02/07/2022","272.45","274.06","274.51","272.09","","-0.30%"
"02/04/2022","273.26","272.85","274.95","271.94","","0.26%"
"02/03/2022","272.54","276.99","277.48","271.90","","-0.81%"
"02/02/2022","274.76","270.05","275.66","269.99","","1.57%"
"02/01/2022","270.52","267.40","272.09","267.40","","0.54%"
"01/31/2022","269.08","267.82","270.47","267.82","","0.36%"
"01/28/2022","268.12","271.23","271.65","266.72","","-1.14%"
"01/27/2022","271.21","270.42","271.99","269.57","","0.34%"
"01/26/2022","270.28","270.43","270.88","267.83","","0.22%"
"01/25/2022","269.69","267.45","270.63","266.38","","1.17%"
"01/24/2022","266.56","267.92","268.02","264.82","","-0.10%"
"01/21/2022","266.82","264.98","267.66","263.92","","0.33%"
"01/20/2022","265.94","267.40","267.50","260.79","","0.05%"
"01/19/2022","265.80","268.92","271.25","264.48","","-1.33%"
"01/18/2022","269.39","270.21","271.21","268.62","","-0.33%"
"01/17/2022","270.27","269.00","271.06","267.65","","0.18%"
"01/14/2022","269.79","268.63","270.66","268.57","","0.18%"
"01/13/2022","269.30","270.01","271.92","268.43","","-0.10%"
"01/12/2022","269.57","272.21","272.69","269.22","","-0.71%"
"01/11/2022","271.50","271.30","272.06","267.17","","0.60%"
"01/10/2022","269.89","264.89","270.31","264.09","","1.87%"
"01/07/2022","264.93","263.65","267.02","262.11","","0.59%"
"01/06/2022","263.38","264.45","266.03","262.92","","-0.52%"
"01/05/2022","264.76","265.74","265.96","263.97","","-0.50%"
"01/04/2022","266.09","263.69","266.81","263.20","","0.91%"
"01/03/2022","263.70","261.67","264.12","261.46","","0.82%"
"12/31/2021","261.56","258.14","262.29","258.14","","0.95%"
"12/30/2021","259.10","260.15","262.18","256.98","","-0.10%"
"12/29/2021","259.36","259.16","259.79","257.83","","-0.02%"
"12/28/2021","259.42","258.72","260.68","257.89","","0.20%"
"12/27/2021","258.91","259.35","260.18","257.96","","-0.17%"
"12/24/2021","259.34","260.15","260.97","258.41","","-0.30%"
"12/23/2021","260.13","260.80","263.38","259.26","","-0.41%"
"12/22/2021","261.21","262.64","263.77","260.03","","-0.37%"
"12/21/2021","262.19","262.16","264.46","260.80","","-0.13%"
"12/20/2021","262.53","258.82","265.37","257.47","","1.43%"
"12/17/2021","258.82","256.07","260.11","253.34","","1.36%"
"12/16/2021","255.34","263.14","263.14","255.00","","-3.04%"
"12/15/2021","263.34","261.24","264.55","259.71","","2.71%"
"12/14/2021","256.38","257.40","258.11","254.36","","0.33%"
"12/13/2021","255.53","258.32","259.26","254.54","","-0.64%"
"12/10/2021","257.17","257.53","259.10","253.34","","-0.08%"
"12/09/2021","257.37","263.38","263.77","255.57","","-1.87%"
"12/08/2021","262.27","263.77","264.77","260.29","","-0.60%"
"12/07/2021","263.86","261.02","265.26","260.52","","1.12%"
"12/06/2021","260.95","262.90","264.24","259.95","","-0.28%"
"12/03/2021","261.67","259.56","265.51","256.66","","-0.40%"
"12/02/2021","262.72","274.10","274.10","260.78","","-4.91%"
"12/01/2021","276.29","275.38","277.23","273.50","","1.44%"
"11/30/2021","272.38","278.14","282.14","267.21","","-1.95%"
"11/29/2021","277.80","265.95","278.45","264.01","","4.43%"
"11/26/2021","266.01","261.08","268.91","259.79","","1.54%"
"11/25/2021","261.98","266.52","267.51","258.75","","-1.42%"
"11/24/2021","265.76","275.32","275.32","265.25","","-3.09%"
"11/23/2021","274.22","277.42","277.69","273.13","","-1.05%"
"11/22/2021","277.13","285.74","288.38","276.09","","-2.84%"
"11/19/2021","285.22","279.87","286.02","278.54","","1.98%"
"11/18/2021","279.67","277.28","280.98","275.10","","0.95%"
"11/17/2021","277.04","280.26","281.31","275.15","","-0.95%"
"11/16/2021","279.71","274.25","280.99","274.25","","1.95%"
"11/15/2021","274.36","274.87","276.78","273.33","","-0.50%"
"11/12/2021","275.75","279.71","282.09","275.00","","-1.42%"
"11/11/2021","279.71","281.66","282.21","278.91","","-0.51%"
"11/10/2021","281.13","283.45","285.68","280.49","","-0.67%"
"11/09/2021","283.02","284.54","286.59","280.74","","-0.79%"
"11/08/2021","285.26","284.37","286.23","283.09","","-0.24%"
"11/05/2021","285.94","283.62","287.78","282.92","","0.87%"
"11/04/2021","283.48","286.42","287.88","282.85","","-0.96%"
"11/03/2021","286.23","289.96","291.85","285.93","","-1.50%"
"11/02/2021","290.58","293.24","294.67","289.06","","-0.03%"
"11/01/2021","290.67","293.56","295.97","290.38","","0.98%"
"10/29/2021","287.84","281.23","289.52","278.52","","2.62%"
"10/28/2021","280.49","278.72","281.06","275.96","","1.16%"
"10/27/2021","277.27","274.39","279.50","274.39","","1.42%"
"10/26/2021","273.39","276.98","276.98","272.85","","-0.57%"
"10/25/2021","274.97","275.47","278.42","274.40","","-1.24%"
"10/22/2021","278.42","277.20","282.85","276.21","","0.45%"
"10/21/2021","277.16","273.21","282.59","270.97","","1.36%"
"10/20/2021","273.43","267.12","274.60","266.40","","2.48%"
"10/18/2021","266.81","262.54","267.54","259.93","","1.18%"
"10/15/2021","263.69","261.08","264.04","258.16","","1.20%"
"10/14/2021","260.56","252.09","261.82","250.28","","3.38%"
"10/13/2021","252.05","253.83","256.49","250.30","","-0.76%"
"10/12/2021","253.98","249.27","256.99","247.68","","1.41%"
"10/11/2021","250.46","252.09","253.22","249.02","","-0.87%"
"10/08/2021","252.67","252.48","253.79","250.34","","0.10%"
"10/07/2021","252.42","254.69","258.10","251.90","","0.22%"
"10/06/2021","251.87","254.94","254.94","250.87","","-0.98%"
"10/05/2021","254.35","258.52","259.48","253.91","","-1.67%"
"10/04/2021","258.68","259.94","259.94","256.90","","-0.45%"
"10/01/2021","259.84","262.04","266.39","259.05","","-0.78%"
"09/30/2021","261.88","260.70","263.33","256.60","","0.64%"
"09/29/2021","260.22","266.93","267.87","259.05","","-2.32%"
"09/28/2021","266.41","265.80","267.14","264.77","","-0.17%"
"09/27/2021","266.86","270.03","270.64","264.16","","-0.91%"
"09/24/2021","269.30","272.37","273.06","268.30","","-0.80%"
"09/23/2021","271.46","273.14","276.02","270.46","","-0.54%"
"09/22/2021","272.93","275.11","276.38","267.10","","-0.23%"
"09/21/2021","273.56","279.03","279.55","270.51","","-0.84%"
"09/20/2021","275.87","273.30","279.12","270.44","","1.01%"
"09/17/2021","273.10","277.25","279.84","272.45","","-1.76%"
"09/16/2021","278.00","277.72","278.68","275.77","","0.09%"
"09/15/2021","277.75","278.30","278.56","276.17","","-0.20%"
"09/14/2021","278.30","280.06","281.85","276.22","","-0.63%"
"09/13/2021","280.06","279.73","281.06","277.31","","0.52%"
"09/10/2021","278.62","274.45","280.56","274.45","","1.11%"
"09/09/2021","275.55","280.91","282.19","274.10","","-2.45%"
"09/08/2021","282.47","286.68","288.08","280.96","","-1.75%"
"09/07/2021","287.49","290.41","290.67","286.53","","-0.94%"
"09/06/2021","290.22","291.98","292.76","289.29","","-0.27%"
"09/03/2021","291.02","291.78","292.46","288.18","","0.13%"
"09/02/2021","290.65","296.82","296.82","289.75","","-1.77%"
"09/01/2021","295.90","297.59","298.20","295.09","","-0.26%"
"08/31/2021","296.68","295.68","298.31","295.03","","0.41%"
"08/30/2021","295.48","297.55","298.83","293.60","","-0.53%"
"08/27/2021","297.06","298.48","298.59","295.17","","-0.34%"
"08/26/2021","298.07","301.70","302.81","296.87","","-1.43%"
"08/25/2021","302.38","302.37","303.81","301.51","","-0.23%"
"08/24/2021","303.08","305.73","306.69","301.88","","-0.92%"
"08/23/2021","305.89","304.06","305.91","303.13","","0.60%"
"08/20/2021","304.06","303.23","305.17","301.82","","0.77%"
"08/17/2021","301.75","301.38","302.94","300.50","","0.35%"
"08/16/2021","300.71","304.75","304.81","298.66","","-0.66%"
"08/13/2021","302.71","304.22","304.75","302.19","","-0.42%"
"08/12/2021","303.99","306.57","307.13","303.35","","-0.24%"
"08/11/2021","304.71","304.48","306.09","303.93","","0.08%"
"08/10/2021","304.48","303.01","305.59","302.27","","0.13%"
"08/09/2021","304.09","306.56","307.14","301.14","","-0.72%"
"08/06/2021","306.29","307.92","308.49","302.37","","-0.33%"
"08/05/2021","307.30","308.63","309.19","306.95","","-0.31%"
"08/04/2021","308.26","308.09","309.06","307.13","","0.08%"
"08/03/2021","308.02","306.04","308.78","305.79","","0.64%"
"08/02/2021","306.05","304.35","307.00","303.09","","0.41%"
"07/30/2021","304.81","307.78","308.13","302.34","","-0.95%"
"07/29/2021","307.73","308.98","309.76","304.61","","-0.19%"
"07/28/2021","308.33","311.14","312.09","307.55","","-0.59%"
"07/27/2021","310.15","306.77","311.38","306.11","","0.88%"
"07/26/2021","307.44","307.22","308.64","305.91","","-0.02%"
"07/23/2021","307.51","305.94","309.31","304.95","","0.15%"
"07/19/2021","307.04","309.27","309.94","306.38","","-0.45%"
"07/16/2021","308.43","303.85","310.00","303.30","","1.65%"
"07/15/2021","303.43","303.31","304.39","302.46","","0.12%"
"07/14/2021","303.08","304.35","305.90","302.72","","-0.24%"
"07/13/2021","303.80","304.71","305.73","301.91","","-0.19%"
"07/12/2021","304.38","304.68","306.04","302.80","","-0.01%"
"07/09/2021","304.40","308.26","308.87","303.96","","-1.15%"
"07/08/2021","307.93","302.63","308.57","302.63","","2.06%"
"07/07/2021","301.70","302.29","303.29","299.75","","0.14%"
"07/06/2021","301.29","299.09","303.82","298.10","","0.78%"
"07/05/2021","298.96","301.72","302.60","298.77","","-0.93%"
"07/02/2021","301.76","301.60","304.92","300.89","","0.23%"
"07/01/2021","301.06","297.34","302.96","297.34","","1.33%"
"06/30/2021","297.10","296.46","298.79","293.39","","0.34%"
"06/29/2021","296.10","294.86","298.26","294.48","","0.66%"
"06/28/2021","294.16","300.85","301.59","293.72","","-2.31%"
"06/25/2021","301.13","307.63","309.41","300.24","","-2.13%"
"06/24/2021","307.67","307.74","308.86","306.80","","0.10%"
"06/23/2021","307.36","309.39","309.97","306.84","","-0.70%"
"06/22/2021","309.54","309.51","311.83","308.68","","-0.20%"
"06/21/2021","310.16","314.13","314.33","309.48","","-0.84%"
"06/18/2021","312.80","313.74","315.91","312.10","","-0.44%"
"06/17/2021","314.17","315.40","316.88","314.17","","-0.32%"
"06/16/2021","315.19","315.89","317.23","314.92","","-0.08%"
"06/15/2021","315.44","317.72","319.07","314.74","","-0.66%"
"06/14/2021","317.53","317.22","318.96","316.52","","0.51%"
"06/11/2021","315.93","316.72","318.17","314.99","","-0.13%"
"06/10/2021","316.34","314.58","317.88","313.97","","0.50%"
"06/09/2021","314.77","317.09","317.77","313.67","","-0.54%"
"06/08/2021","316.48","315.47","317.93","314.52","","0.43%"
"06/07/2021","315.13","316.46","317.52","314.49","","-0.22%"
"06/04/2021","315.84","316.04","317.88","314.73","","-0.07%"
"06/03/2021","316.06","320.63","321.49","314.45","","-1.18%"
"06/02/2021","319.85","322.50","322.78","317.52","","-0.81%"
"06/01/2021","322.46","320.30","323.70","320.30","","0.68%"
"05/31/2021","320.27","316.14","322.43","316.14","","1.59%"
"05/28/2021","315.25","313.67","316.47","312.69","","0.33%"
"05/27/2021","314.21","317.01","318.80","311.68","","0.12%"
"05/26/2021","313.84","307.87","314.74","307.87","","2.00%"
"05/25/2021","307.69","304.40","308.19","302.71","","1.34%"
"05/24/2021","303.63","304.69","307.12","303.01","","0.32%"
"05/21/2021","302.65","299.30","303.93","298.66","","1.32%"
